base_form,dict_id,eogan,pos,conjugation,usage,grade
허용하다,,허용하,동사,여,許容-,B
헤매다,,헤매,동사,규,,C
헤아리다,,헤아리,동사,규,,C
헤어지다,,헤어지,동사,규,,B
형성되다,,형성되,동사,규,形成-,C
형성하다,,형성하,동사,여,形成-,C
혼나다,,혼나,동사,규,魂-,C
화나다,,화나,동사,규,火-,B
화려하다,,화려하,형용사,여,華麗-,B
확대되다,02,확대되,동사,규,擴大-,B
확대하다,02,확대하,동사,여,擴大-,B
확립하다,,확립하,동사,여,確立-,C
확산되다,,확산되,동사,규,擴散-,C
확신하다,,확신하,동사,여,確信-,C
확실하다,,확실하,형용사,여,確實-,B
확인되다,,확인되,동사,규,確認-,C
확인하다,,확인하,동사,여,確認-,B
환영하다,,환영하,동사,여,歡迎-,C
환하다,01,환하,형용사,여,,C
활동하다,01,활동하,동사,여,活動-,B
활발하다,,활발하,형용사,여,活潑-,B
활발해지다,,활발해지,동사,규,活潑-,C
활용하다,,활용하,동사,여,活用-,B
회복되다,,회복되,동사,규,回復-,C
회복하다,,회복하,동사,여,回復-,B
효도하다,,효도하,동사,여,孝道-,C
후회하다,,후회하,동사,여,後悔-,B
훌륭하다,,훌륭하,형용사,여,,B
훔치다,02,훔치,동사,규,물건을 ~,C
흐려지다,,흐려지,동사,규,,C
흐르다,01,흐르,동사,르,,B
흐리다,01,흐리,동사,규,물을 ~,C
흐리다,02,흐리,형용사,규,날이 ~,B
흔들다,,흔들,동사,ㄹ,,B
흔들리다,,흔들리,동사,규,,C
흔하다,,흔하,형용사,여,,C
흘러가다,,흘러가,동사,규,,B
흘러나오다,,흘러나오,동사,규,,B
흘러내리다,,흘러내리,동사,규,,C
흘리다,,흘리,동사,규,,B
흥미롭다,,흥미롭,형용사,ㅂ,興味-,C
흥분하다,,흥분하,동사,여,興奮-,C
흩어지다,,흩어지,동사,규,,C
희다,,희,형용사,규,,B
희망하다,,희망하,동사,여,希望-,C
희생하다,,희생하,동사,여,犧牲-,C
힘겹다,,힘겹,형용사,ㅂ,,C
힘들다,,힘들,형용사,ㄹ,,A
힘들어하다,,힘들어하,동사,여,,C
힘쓰다,,힘쓰,동사,으,,C
힘차다,,힘차,형용사,규,,C
